Ahrim the Blighted	https://oldschool.runescape.wiki/images/thumb/Ahrim_the_Blighted.png/56px-Ahrim_the_Blighted.png
Karil the Tainted	https://oldschool.runescape.wiki/images/thumb/Karil_the_Tainted.png/84px-Karil_the_Tainted.png
Dharok the Wretched	https://oldschool.runescape.wiki/images/thumb/Dharok_the_Wretched.png/57px-Dharok_the_Wretched.png
Guthan the Infested	https://oldschool.runescape.wiki/images/thumb/Guthan_the_Infested.png/46px-Guthan_the_Infested.png
Torag the Corrupted	https://oldschool.runescape.wiki/images/thumb/Torag_the_Corrupted.png/73px-Torag_the_Corrupted.png
Verac the Defiled	https://oldschool.runescape.wiki/images/thumb/Verac_the_Defiled.png/63px-Verac_the_Defiled.png
Gemstone Crab	https://oldschool.runescape.wiki/images/thumb/Gemstone_Crab.png/150px-Gemstone_Crab.png
Scurrius	https://oldschool.runescape.wiki/images/thumb/Scurrius.png/145px-Scurrius.png
Giant Mole	https://oldschool.runescape.wiki/images/thumb/Giant_Mole.png/150px-Giant_Mole.png
Deranged Archaeologist	https://oldschool.runescape.wiki/images/thumb/Deranged_archaeologist.png/50px-Deranged_archaeologist.png
Dagannoth Supreme	https://oldschool.runescape.wiki/images/thumb/Dagannoth_Supreme.png/108px-Dagannoth_Supreme.png
Dagannoth Rex	https://oldschool.runescape.wiki/images/thumb/Dagannoth_Rex.png/131px-Dagannoth_Rex.png
Dagannoth Prime	https://oldschool.runescape.wiki/images/thumb/Dagannoth_Prime.png/105px-Dagannoth_Prime.png
Sarachnis	https://oldschool.runescape.wiki/images/thumb/Sarachnis.png/150px-Sarachnis.png
Blood Moon	https://oldschool.runescape.wiki/images/thumb/Blood_Moon.png/81px-Blood_Moon.png
Blue Moon	https://oldschool.runescape.wiki/images/thumb/Blue_Moon.png/87px-Blue_Moon.png
Eclipse Moon	https://oldschool.runescape.wiki/images/thumb/Eclipse_Moon.png/81px-Eclipse_Moon.png
Kalphite Queen	https://oldschool.runescape.wiki/images/thumb/Kalphite_Queen.png/150px-Kalphite_Queen.png
Kree'arra	https://oldschool.runescape.wiki/images/thumb/Kree%27arra.png/141px-Kree%27arra.png
Commander Zilyana	https://oldschool.runescape.wiki/images/thumb/Commander_Zilyana.png/88px-Commander_Zilyana.png
General Graardor	https://oldschool.runescape.wiki/images/thumb/General_Graardor.png/125px-General_Graardor.png
K'ril Tsutsaroth	https://oldschool.runescape.wiki/images/thumb/K%27ril_Tsutsaroth.png/138px-K%27ril_Tsutsaroth.png
The Hueycoatl	https://oldschool.runescape.wiki/images/thumb/The_Hueycoatl.png/150px-The_Hueycoatl.png
Corporeal Beast	https://oldschool.runescape.wiki/images/thumb/Corporeal_Beast.png/150px-Corporeal_Beast.png
Nex	https://oldschool.runescape.wiki/images/thumb/Nex.png/129px-Nex.png
Chaos Fanatic	https://oldschool.runescape.wiki/images/thumb/Chaos_Fanatic.png/85px-Chaos_Fanatic.png
Crazy Archaeologist	https://oldschool.runescape.wiki/images/thumb/Crazy_archaeologist.png/50px-Crazy_archaeologist.png
Scorpia	https://oldschool.runescape.wiki/images/thumb/Scorpia.png/150px-Scorpia.png
King Black Dragon	https://oldschool.runescape.wiki/images/thumb/King_Black_Dragon.png/150px-King_Black_Dragon.png
Chaos Elemental	https://oldschool.runescape.wiki/images/thumb/Chaos_Elemental.png/150px-Chaos_Elemental.png
Revenant Maledictus	https://oldschool.runescape.wiki/images/thumb/Revenant_maledictus.png/145px-Revenant_maledictus.png
Calvar'ion	https://oldschool.runescape.wiki/images/thumb/Calvar%27ion.png/82px-Calvar%27ion.png
Vet'ion	https://oldschool.runescape.wiki/images/thumb/Vet%27ion.png/82px-Vet%27ion.png
Spindel	https://oldschool.runescape.wiki/images/thumb/Spindel.png/150px-Spindel.png
Venenatis	https://oldschool.runescape.wiki/images/thumb/Venenatis.png/150px-Venenatis.png
Artio	https://oldschool.runescape.wiki/images/thumb/Artio.png/150px-Artio.png
Callisto	https://oldschool.runescape.wiki/images/thumb/Callisto.png/150px-Callisto.png
Brutus	https://oldschool.runescape.wiki/images/thumb/Brutus.png/150px-Brutus.png
Obor	https://oldschool.runescape.wiki/images/thumb/Obor.png/70px-Obor.png
Bryophyta	https://oldschool.runescape.wiki/images/thumb/Bryophyta.png/95px-Bryophyta.png
Amoxliatl	https://oldschool.runescape.wiki/images/thumb/Amoxliatl.png/72px-Amoxliatl.png
Royal Titans	https://oldschool.runescape.wiki/images/thumb/Branda_the_Fire_Queen.png/94px-Branda_the_Fire_Queen.png
Doom of Mokhaiotl	https://oldschool.runescape.wiki/images/thumb/Doom_of_Mokhaiotl.png/150px-Doom_of_Mokhaiotl.png
Zulrah	https://oldschool.runescape.wiki/images/thumb/Zulrah_%28serpentine%29.png/140px-Zulrah_%28serpentine%29.png
Vorkath	https://oldschool.runescape.wiki/images/thumb/Vorkath.png/190px-Vorkath.png
Phantom Muspah	https://oldschool.runescape.wiki/images/thumb/Phantom_Muspah_%28ranged%29.png/149px-Phantom_Muspah_%28ranged%29.png
Maggot King	https://oldschool.runescape.wiki/images/thumb/Maggot_King.png/150px-Maggot_King.png
The Nightmare	https://oldschool.runescape.wiki/images/thumb/The_Nightmare.png/150px-The_Nightmare.png
Yama	https://oldschool.runescape.wiki/images/thumb/Yama.png/155px-Yama.png
Duke Sucellus	https://oldschool.runescape.wiki/images/thumb/Duke_Sucellus.png/135px-Duke_Sucellus.png
